"Species","Severity","Sample_Order","Mean_Asat"
"Acer","0","1",6.96784259259259
"Acer","0","2",9.93488888888889
"Acer","45","1",8.93266666666667
"Acer","45","2",9.90988888888889
"Acer","65","1",10.9718518518519
"Acer","65","2",10.9346666666667
"Acer","85","1",9.6334
"Acer","85","2",8.9321
"Populus","0","1",7.26863157894737
"Populus","0","2",14.1757777777778
"Populus","45","1",11.8817142857143
"Populus","45","2",17.3866666666667
"Populus","65","1",15.8966666666667
"Populus","65","2",16.1922222222222
"Populus","85","1",17.725
"Populus","85","2",16.6684210526316
"Quercus","0","1",8.68877777777778
"Quercus","0","2",16.4655555555556
"Quercus","45","1",9.11980952380952
"Quercus","45","2",15.5567777777778
"Quercus","65","1",12.349
"Quercus","65","2",16.1298888888889
"Quercus","85","1",14.0942857142857
"Quercus","85","2",16.0975
