"Focal_Tree","Plot","Species","Severity","Year","mean_Asat"
"1EA1","D01E","Acer","0",2018,2.93066666666667
"1EA2","D01E","Acer","0",2018,4.65666666666667
"1EA3","D01E","Acer","0",2018,4.458
"1EP1","D01E","Populus","0",2018,11.6513333333333
"1EP2","D01E","Populus","0",2018,8.82733333333333
"1EP3","D01E","Populus","0",2018,14.0933333333333
"1EQ1","D01E","Quercus","0",2018,13.1133333333333
"1EQ2","D01E","Quercus","0",2018,7.98225
"1EQ3","D01E","Quercus","0",2018,9.98466666666667
"1WA1","D01W","Acer","0",2018,3.684
"1WA2","D01W","Acer","0",2018,2.3
"1WA3","D01W","Acer","0",2018,3.97466666666667
"1WP1","D01W","Populus","0",2018,15.07
"1WP2","D01W","Populus","0",2018,14.7266666666667
"1WP3","D01W","Populus","0",2018,16.2
"1WQ1","D01W","Quercus","0",2018,10.0226666666667
"1WQ2","D01W","Quercus","0",2018,9.6
"1WQ3","D01W","Quercus","0",2018,10.7233333333333
"2EA1","D02E","Acer","85",2018,9.0136
"2EA2","D02E","Acer","85",2018,3.93993333333333
"2EA3","D02E","Acer","85",2018,1.82933333333333
"2EP1","D02E","Populus","85",2018,10.4512
"2EP2","D02E","Populus","85",2018,16.12
"2EP3","D02E","Populus","85",2018,16.4577777777778
"2EQ1","D02E","Quercus","85",2018,9.6628
"2EQ2","D02E","Quercus","85",2018,12.4348
"2EQ3","D02E","Quercus","85",2018,8.976
"2WA1","D02W","Acer","85",2018,2.178
"2WA2","D02W","Acer","85",2018,3.2252
"2WA3","D02W","Acer","85",2018,3.23993
"2WP1","D02W","Populus","85",2018,16.88
"2WP2","D02W","Populus","85",2018,16.534
"2WP3","D02W","Populus","85",2018,15.556
"2WQ1","D02W","Quercus","85",2018,15.512
"2WQ2","D02W","Quercus","85",2018,12.35
"2WQ3","D02W","Quercus","85",2018,7.3232
"3EA1","D03E","Acer","45",2018,4.81533333333333
"3EA2","D03E","Acer","45",2018,5.12933333333333
"3EA3","D03E","Acer","45",2018,10.6266666666667
"3EP1","D03E","Populus","45",2018,12.5933333333333
"3EP2","D03E","Populus","45",2018,13.9866666666667
"3EP3","D03E","Populus","45",2018,8.006
"3EQ1","D03E","Quercus","45",2018,9.96266666666667
"3EQ2","D03E","Quercus","45",2018,11.0933333333333
"3EQ3","D03E","Quercus","45",2018,9.862
"3WA1","D03W","Acer","45",2018,2.864
"3WA2","D03W","Acer","45",2018,10.0386666666667
"3WA3","D03W","Acer","45",2018,10.7273333333333
"3WP1","D03W","Populus","45",2018,15.05
"3WP2","D03W","Populus","45",2018,12.649
"3WP3","D03W","Populus","45",2018,15.0933333333333
"3WQ1","D03W","Quercus","45",2018,10.432
"3WQ2","D03W","Quercus","45",2018,18.28
"3WQ3","D03W","Quercus","45",2018,13.4
"4EA1","D04E","Acer","65",2018,5.88466666666667
"4EA2","D04E","Acer","65",2018,2.33866666666667
"4EA3","D04E","Acer","65",2018,3.482
"4EP1","D04E","Populus","65",2018,14.3666666666667
"4EP2","D04E","Populus","65",2018,10.5913333333333
"4EP3","D04E","Populus","65",2018,13.78
"4EQ1","D04E","Quercus","65",2018,9.43133333333333
"4EQ2","D04E","Quercus","65",2018,10.1986666666667
"4EQ3","D04E","Quercus","65",2018,13.2
"4WA1","D04W","Acer","65",2018,1.31452666666667
"4WA2","D04W","Acer","65",2018,8.486
"4WA3","D04W","Acer","65",2018,6.18266666666667
"4WP1","D04W","Populus","65",2018,10.926
"4WP2","D04W","Populus","65",2018,7.75866666666667
"4WP3","D04W","Populus","65",2018,12.1293033333333
"4WQ1","D04W","Quercus","65",2018,11.4696666666667
"4WQ2","D04W","Quercus","65",2018,12.8138095238095
"4WQ3","D04W","Quercus","65",2018,14.46
