sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
103, 25.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5616504,-84.7076198
103, 25.00,03369,   1, 133,   0,1339,1530,1492,-13.73,-4.69,14.51,251.13,-5,45.5616118,-84.7077973,3369
103, 25.00,03370,   1, 400,   0,1050,1255,1213,-10.88,-3.87,11.55,250.44,-2,45.5616184,-84.7077605,3370
103, 25.00,03371,   1, 290,   0, 785, 978, 907,-8.71,-1.17,8.79,262.36,2,45.5616422,-84.7077318,3371
103, 25.00,03372,   1, 231,   0, 783, 970, 923,-8.53,-2.35,8.84,254.61,-8,45.5616315,-84.7077298,3372
103, 25.00,03373,   1, 133,   0, 754, 937, 892,-8.27,-2.27,8.58,254.65,-13,45.5616321,-84.7077265,3373
103, 25.00,00003,   1, 430,   0, 592, 766, 753,-6.10,-3.13,6.86,242.85,-12,45.5616239,-84.7076991,3
103, 25.00,00004,   1, 120,   0, 730, 894, 902,-7.02,-4.60,8.39,236.74,11,45.5616108,-84.7077113,4
103, 25.00,03374,   1, 166,   0, 784, 961, 960,-7.73,-4.53,8.96,239.63,-1,45.5616117,-84.7077204,3374
103, 25.00,03375,   1, 132,   0, 872,1286,1043,-10.26,-0.77,10.29,265.71,-9,45.5616461,-84.7077515,3375
103, 25.00,03376,   1, 280,   0, 818, 969,1000,-6.89,-6.06,9.18,228.67,-8,45.5615977,-84.7077102,3376
103, 25.00,03377,   1, 265,   0,1020,1153,1216,-7.11,-8.64,11.19,219.45,0,45.5615746,-84.7077140,3377
103, 25.00,03378,   1, 124,   0,1168,1333,1356,-10.21,-7.77,12.83,232.72,3,45.5615832,-84.7077533,3378
103, 25.00,03379,   1, 171,   0,1262,1369,1457,-7.09,-11.57,13.57,211.52,-5,45.5615482,-84.7077148,3379
103, 25.00,03380,   1, 108,   0,1214,1310,1400,-6.35,-11.42,13.07,209.08,-17,45.5615494,-84.7077053,3380
103, 25.00,03381,   1, 282,   0,1096,1193,1300,-5.27,-10.62,11.85,206.39,1,45.5615563,-84.7076911,3381
103, 25.00,03382,   1, 102,   0,1003,1098,1198,-4.98,-9.77,10.97,206.99,-2,45.5615638,-84.7076871,3382
103, 25.00,03383,   1, 352,   0, 682, 738, 864,-1.86,-7.23,7.47,194.44,-19,45.5615859,-84.7076463,3383
103, 25.00,03384,   1, 168,   0,1105,1133,1288,-1.43,-11.62,11.71,187.02,-1,45.5615463,-84.7076423,3384
103, 25.00,03385,   1,  92,   0,1118,1139,1296,-1.10,-11.77,11.82,185.34,-1,45.5615449,-84.7076382,3385
103, 25.00,03386,   1, 241,   0,1135,1093,1276,2.50,-11.33,11.60,167.57,-6,45.5615479,-84.7075920,3386
