lookupVariable,lookupValue,newVariable,newValue
Haglof_Plot_ID,101,PlotID,D01
Haglof_Plot_ID,102,PlotID,D01
Haglof_Plot_ID,103,PlotID,D01
Haglof_Plot_ID,104,PlotID,D01
Haglof_Plot_ID,106,PlotID,D01
Haglof_Plot_ID,107,PlotID,D01
Haglof_Plot_ID,108,PlotID,D01
Haglof_Plot_ID,109,PlotID,D01
Haglof_Plot_ID,110,PlotID,D01
Haglof_Plot_ID,111,PlotID,D01
Haglof_Plot_ID,124,PlotID,D02
Haglof_Plot_ID,125,PlotID,D02
Haglof_Plot_ID,126,PlotID,D02
Haglof_Plot_ID,127,PlotID,D02
Haglof_Plot_ID,128,PlotID,D02
Haglof_Plot_ID,129,PlotID,D02
Haglof_Plot_ID,115,PlotID,D03
Haglof_Plot_ID,116,PlotID,D03
Haglof_Plot_ID,117,PlotID,D03
Haglof_Plot_ID,118,PlotID,D03
Haglof_Plot_ID,119,PlotID,D03
Haglof_Plot_ID,120,PlotID,D03
Haglof_Plot_ID,121,PlotID,D03
Haglof_Plot_ID,122,PlotID,D03
Haglof_Plot_ID,123,PlotID,D03
Haglof_Plot_ID,130,PlotID,D01
Haglof_Plot_ID,131,PlotID,D01
Haglof_Plot_ID,132,PlotID,D04
Haglof_Plot_ID,133,PlotID,D04
Haglof_Plot_ID,134,PlotID,D04
Haglof_Plot_ID,135,PlotID,D04
Haglof_Plot_ID,136,PlotID,D04
Haglof_Plot_ID,137,PlotID,D04
Haglof_Plot_ID,138,PlotID,D04
Haglof_Plot_ID,139,PlotID,D04
